FIPS,State,County,Income Inequality 80th Percentile Income,Income Inequality 20th Percentile Income,Income Inequality Income Ratio,Income Inequality National Z-Score
18181,Indiana,White,113543,30346,3.7416133922,-1.027567401
18183,Indiana,Whitley,124555,36904,3.3751083893,-1.490100079
19000,Iowa,,131036,31324,4.1832460733,
19001,Iowa,Adair,118208,28890,4.0916580132,-0.585807876
19003,Iowa,Adams,118350,30295,3.9065852451,-0.819371409
19005,Iowa,Allamakee,108173,30169,3.5855679671,-1.22449816
19007,Iowa,Appanoose,97141,21356,4.5486514329,-0.009077986
19009,Iowa,Audubon,109459,28247,3.8750663787,-0.859148507
19011,Iowa,Benton,135682,35649,3.8060534657,-0.946243437
19013,Iowa,Black Hawk,120542,26981,4.4676624291,-0.111286852
19015,Iowa,Boone,130108,33319,3.9049191152,-0.82147408
19017,Iowa,Bremer,134485,41689,3.2259109118,-1.678388665
19019,Iowa,Buchanan,122121,31753,3.8459673102,-0.895871799
19021,Iowa,Buena Vista,123235,34935,3.5275511665,-1.297715895
19023,Iowa,Butler,120039,31244,3.8419856612,-0.900896676
19025,Iowa,Calhoun,114681,28723,3.9926539707,-0.710751887
19027,Iowa,Carroll,122267,29799,4.1030571496,-0.571422062
19029,Iowa,Cass,112064,23340,4.8013710368,0.3098564738
19031,Iowa,Cedar,126788,35391,3.5824927241,-1.228379145
19033,Iowa,Cerro Gordo,115071,29009,3.9667344617,-0.743462545
19035,Iowa,Cherokee,117509,28842,4.0742320227,-0.607799636
19037,Iowa,Chickasaw,115952,35391,3.276313187,-1.614780531
19039,Iowa,Clarke,118567,25052,4.7328357017,0.2233642519
19041,Iowa,Clay,113794,26849,4.2382956535,-0.400749828
19043,Iowa,Clayton,112053,28358,3.9513717469,-0.762850432
19045,Iowa,Clinton,117549,28492,4.1256844026,-0.542866261
19047,Iowa,Crawford,118075,26406,4.4715216239,-0.106416513
19049,Iowa,Dallas,183465,45847,4.0016794992,-0.699361587
19051,Iowa,Davis,124529,37472,3.3232546968,-1.555539915
19053,Iowa,Decatur,99440,22059,4.5079106034,-0.060493287
19055,Iowa,Delaware,138190,37513,3.6837896196,-1.100541533
19057,Iowa,Des Moines,114016,25327,4.5017570182,-0.068259168
19059,Iowa,Dickinson,128575,34698,3.7055449882,-1.073086058
19061,Iowa,Dubuque,134804,32492,4.1488366367,-0.513647929
19063,Iowa,Emmet,109317,27263,4.0097201335,-0.689214233
19065,Iowa,Fayette,105631,22425,4.7104124861,0.1950659479
19067,Iowa,Floyd,112989,28606,3.9498356988,-0.764788939
19069,Iowa,Franklin,106362,22892,4.6462519658,0.1140947823
19071,Iowa,Fremont,121393,31760,3.822197733,-0.925869223
19073,Iowa,Greene,105311,27663,3.8069262191,-0.945142014
19075,Iowa,Grundy,133345,40039,3.3303778816,-1.54655039
19077,Iowa,Guthrie,131551,31554,4.1690752361,-0.48810663
19079,Iowa,Hamilton,114791,29369,3.9085770711,-0.816857706
19081,Iowa,Hancock,109897,32259,3.4067082055,-1.450220821
19083,Iowa,Hardin,110144,25301,4.3533457176,-0.255555591
19085,Iowa,Harrison,125224,32288,3.8783448959,-0.855010988
19087,Iowa,Henry,113340,29525,3.8387806943,-0.904941374
19089,Iowa,Howard,110712,29189,3.792935695,-0.962798184
19091,Iowa,Humboldt,116404,27087,4.2974120427,-0.326144403
19093,Iowa,Ida,113925,29532,3.857679805,-0.881090523
19095,Iowa,Iowa,133400,34305,3.88864597,-0.842010938
19097,Iowa,Jackson,125175,28982,4.3190601063,-0.298824348
19099,Iowa,Jasper,125674,33305,3.7734274133,-0.987417814
19101,Iowa,Jefferson,104833,23002,4.5575602122,0.0021649752
19103,Iowa,Johnson,146992,27855,5.2770418237,0.910157373
19105,Iowa,Jones,118565,33191,3.5722033081,-1.241364482
19107,Iowa,Keokuk,110461,24726,4.467402734,-0.11161459
19109,Iowa,Kossuth,109553,28410,3.8561422034,-0.88303099
19111,Iowa,Lee,106632,24913,4.280175009,-0.347897697
19113,Iowa,Linn,140485,34281,4.0980426475,-0.577750409
19115,Iowa,Louisa,125914,33491,3.7596369174,-1.004821547
19117,Iowa,Lucas,111379,23713,4.6969594737,0.1780881228
19119,Iowa,Lyon,123855,38067,3.2536054851,-1.643437859
19121,Iowa,Madison,141875,40639,3.491104604,-1.343711791
19123,Iowa,Mahaska,117629,27876,4.2197230593,-0.424188613
19125,Iowa,Marion,131985,34179,3.861581673,-0.87616633
19127,Iowa,Marshall,119807,30862,3.8820232001,-0.850368935
19129,Iowa,Mills,146980,39534,3.7178125158,-1.057604326
19131,Iowa,Mitchell,122407,30865,3.965883687,-0.74453623
19133,Iowa,Monona,114100,26563,4.2954485563,-0.32862234
19135,Iowa,Monroe,123048,27175,4.5279852806,-0.03515886
19137,Iowa,Montgomery,114862,25309,4.5383855545,-0.022033619
19139,Iowa,Muscatine,122011,33219,3.6729281435,-1.114248815
19141,Iowa,O'Brien,110727,29338,3.7741836526,-0.986463434
19143,Iowa,Osceola,116568,31137,3.7437132672,-1.02491734
19145,Iowa,Page,106508,25294,4.2108009805,-0.435448358
19147,Iowa,Palo Alto,118495,27917,4.2445463338,-0.392861412
19149,Iowa,Plymouth,135043,38594,3.4990672125,-1.333662906
19151,Iowa,Pocahontas,112570,29101,3.8682519501,-0.867748379
19153,Iowa,Polk,146411,36635,3.9964787771,-0.705924946
19155,Iowa,Pottawattamie,127192,29612,4.295285695,-0.328827873
19157,Iowa,Poweshiek,123742,24921,4.965370571,0.5168253913
19159,Iowa,Ringgold,118965,29689,4.0070396443,-0.692597035
19161,Iowa,Sac,126394,28778,4.3920355827,-0.206728626
19163,Iowa,Scott,138988,31126,4.4653344471,-0.114224787
19165,Iowa,Shelby,134226,30066,4.4643783676,-0.115431368
19167,Iowa,Sioux,135421,37281,3.6324401169,-1.165345077
19169,Iowa,Story,132187,24493,5.396929735,1.0614570175
19171,Iowa,Tama,115434,28467,4.0550110654,-0.632056661
19173,Iowa,Taylor,113097,30875,3.6630607287,-1.126701583
19175,Iowa,Union,105736,25724,4.1104027367,-0.562151863
19177,Iowa,Van Buren,108260,25973,4.1681746429,-0.489243187
19179,Iowa,Wapello,111675,23530,4.7460688483,0.2400646043
19181,Iowa,Warren,153290,41167,3.723613574,-1.050283337
19183,Iowa,Washington,121881,36714,3.3197417879,-1.559973238
19185,Iowa,Wayne,102694,28820,3.5632893824,-1.252613938
19187,Iowa,Webster,113150,26715,4.23544825,-0.404343278
19189,Iowa,Winnebago,114667,28764,3.9864761507,-0.718548352
19191,Iowa,Winneshiek,122032,32939,3.7047876378,-1.074041841
19193,Iowa,Woodbury,125654,28238,4.4498193923,-0.133804928
19195,Iowa,Worth,128571,31979,4.0204821914,-0.675632417
19197,Iowa,Wright,107536,28383,3.788746785,-0.968084627
20000,Kansas,,134159,30408,4.4119639569,
20001,Kansas,Allen,100107,25530,3.9211515864,-0.800988552
20003,Kansas,Anderson,104506,25442,4.1076173257,-0.565667078
20005,Kansas,Atchison,106190,24191,4.389649043,-0.209740462
20007,Kansas,Barber,112000,23244,4.8184477715,0.3314074697
20009,Kansas,Barton,104026,25362,4.101648135,-0.573200251
20011,Kansas,Bourbon,107583,25888,4.1557092089,-0.504974679
20013,Kansas,Brown,106000,27680,3.8294797688,-0.916679227
20015,Kansas,Butler,140971,36440,3.8685784852,-0.867336288
20017,Kansas,Chase,105714,25800,4.0974418605,-0.578508608
20019,Kansas,Chautauqua,93591,24563,3.8102430485,-0.940956145
20021,Kansas,Cherokee,99656,22869,4.3576894486,-0.250073763
20023,Kansas,Cheyenne,112000,23886,4.6889391275,0.1679663723
20025,Kansas,Clark,102357,28716,3.5644588383,-1.251138074
20027,Kansas,Clay,108235,24043,4.5017260741,-0.06829822
20029,Kansas,Cloud,92417,23926,3.8626180724,-0.874858384
20031,Kansas,Coffey,126611,29747,4.2562611356,-0.378077225
20033,Kansas,Comanche,101917,24121,4.2252394179,-0.417226917
20035,Kansas,Cowley,106162,24575,4.3199186165,-0.2977409
20037,Kansas,Crawford,98779,19102,5.1711339127,0.7765006172
20039,Kansas,Decatur,96745,26358,3.6704226421,-1.117410781
20041,Kansas,Dickinson,113954,29504,3.8623237527,-0.875229818
20043,Kansas,Doniphan,113276,23984,4.722981988,0.2109287747
20045,Kansas,Douglas,134991,27179,4.9667390265,0.5185523946
20047,Kansas,Edwards,107500,27115,3.9645952425,-0.746162259
20049,Kansas,Elk,102773,21300,4.8250234742,0.3397060669
20051,Kansas,Ellis,126862,24274,5.226250309,0.8460580152
20053,Kansas,Ellsworth,113103,28276,3.9999646343,-0.701525762
20055,Kansas,Finney,125803,34409,3.6561074138,-1.135476731
20057,Kansas,Ford,115044,32288,3.5630574827,-1.252906598
20059,Kansas,Franklin,125646,31638,3.9713635502,-0.737620593
20061,Kansas,Geary,101621,27711,3.6671718812,-1.121513271
20063,Kansas,Gove,114800,29000,3.9586206897,-0.7537022
20065,Kansas,Graham,84844,27756,3.0567805159,-1.891832777
20067,Kansas,Grant,149464,43302,3.4516650501,-1.39348487
20069,Kansas,Gray,124313,36583,3.398108411,-1.46107384
20071,Kansas,Greeley,119500,37607,3.1775999149,-1.739357586
20073,Kansas,Greenwood,113525,22493,5.0471257725,0.6200012059
20075,Kansas,Hamilton,116588,28347,4.1128867252,-0.559017047
20077,Kansas,Harper,100333,24088,4.1652690136,-0.492910118
20079,Kansas,Harvey,120828,32764,3.687828104,-1.095444928
20081,Kansas,Haskell,131133,36738,3.5694104197,-1.244889133
20083,Kansas,Hodgeman,125263,35980,3.4814619233,-1.355880943
20085,Kansas,Jackson,117174,33861,3.4604412156,-1.382409269
20087,Kansas,Jefferson,130845,34648,3.7764084507,-0.983655718
20089,Kansas,Jewell,94240,23278,4.0484577713,-0.640326978
20091,Kansas,Johnson,190016,49832,3.8131321239,-0.937310105
20093,Kansas,Kearny,132080,34775,3.7981308411,-0.956241862
20095,Kansas,Kingman,114500,32604,3.5118390382,-1.317544745
20097,Kansas,Kiowa,105409,36500,2.8879178082,-2.104939064
20099,Kansas,Labette,105318,23989,4.3902622035,-0.208966647
20101,Kansas,Lane,114865,21440,5.3575093284,1.0117081025
20103,Kansas,Leavenworth,152772,35304,4.3273283481,-0.288389751
20105,Kansas,Lincoln,106457,21149,5.0336658944,0.6030147162
20107,Kansas,Linn,108976,26400,4.1278787879,-0.540096926
20109,Kansas,Logan,126500,30894,4.0946462096,-0.582036745
20111,Kansas,Lyon,99071,25589,3.8716245262,-0.863492157
20113,Kansas,McPherson,124185,32083,3.8707415142,-0.864606526
20115,Kansas,Marion,111158,28873,3.849894365,-0.89091582
20117,Kansas,Marshall,114667,27063,4.2370395004,-0.402335105
20119,Kansas,Meade,139353,35500,3.9254366197,-0.795580801
20121,Kansas,Miami,149026,40692,3.6622923425,-1.127671294
20123,Kansas,Mitchell,109255,27692,3.9453632818,-0.77043317
20125,Kansas,Montgomery,96160,23051,4.1716194525,-0.484895806
20127,Kansas,Morris,109240,24417,4.4739320965,-0.103374474
20129,Kansas,Morton,118586,29137,4.0699454302,-0.613209355
20131,Kansas,Nemaha,137771,29052,4.7422208454,0.2352083893
20133,Kansas,Neosho,98130,23462,4.1825078851,-0.471154504
20135,Kansas,Ness,119200,32702,3.6450370008,-1.149447694
20137,Kansas,Norton,104750,26260,3.988956588,-0.715418018
20139,Kansas,Osage,109167,29506,3.6998237647,-1.080306295
20141,Kansas,Osborne,105167,23951,4.3909231347,-0.208132546
20143,Kansas,Ottawa,126230,35255,3.5804850376,-1.230912864
20145,Kansas,Pawnee,110171,25677,4.2906492191,-0.334679148
20147,Kansas,Phillips,98480,26809,3.6733932635,-1.11366183
20149,Kansas,Pottawatomie,139405,37063,3.7612983299,-1.002724829
20151,Kansas,Pratt,112500,28480,3.9501404494,-0.764404341
20153,Kansas,Rawlins,101250,24808,4.0813447275,-0.598823338
20155,Kansas,Reno,104619,26045,4.0168554425,-0.680209407
20157,Kansas,Republic,99875,25730,3.8816556549,-0.85083278
20159,Kansas,Rice,104275,28057,3.7165413266,-1.059208578
20161,Kansas,Riley,117737,22096,5.3284304852,0.9750103354
20163,Kansas,Rooks,115105,37667,3.0558579128,-1.892997111
20165,Kansas,Rush,89585,22397,3.9998660535,-0.701650172
20167,Kansas,Russell,95671,21094,4.5354603205,-0.025725291
20169,Kansas,Saline,112917,25563,4.4172045535,-0.174965154
20171,Kansas,Scott,99173,27207,3.645128092,-1.149332736
20173,Kansas,Sedgwick,125947,28534,4.4139272447,-0.179101148
20175,Kansas,Seward,100382,29172,3.4410393528,-1.406894598
20177,Kansas,Shawnee,121503,28340,4.2873323924,-0.338865014
20179,Kansas,Sheridan,135500,24177,5.6045001448,1.3234127799
20181,Kansas,Sherman,130734,23746,5.5055167186,1.1984947875
20183,Kansas,Smith,104375,27857,3.7468140862,-1.021004078
20185,Kansas,Stafford,114583,28694,3.9932738552,-0.709969587
20187,Kansas,Stanton,119357,32365,3.6878418044,-1.095427638
20189,Kansas,Stevens,119167,36250,3.2873655172,-1.600832389
20191,Kansas,Sumner,120591,26997,4.4668296477,-0.11233783
20193,Kansas,Thomas,121155,31401,3.8583166141,-0.880286864
20195,Kansas,Trego,118935,32848,3.6207683877,-1.180074906
20197,Kansas,Wabaunsee,128258,36781,3.4870721296,-1.348800811
20199,Kansas,Wallace,99125,27750,3.5720720721,
20201,Kansas,Washington,102050,28343,3.6005362876,-1.205608002
20203,Kansas,Wichita,150500,28750,5.2347826087,0.8568258558
20205,Kansas,Wilson,110408,21260,5.1932267168,0.8043819388
20207,Kansas,Woodson,98000,25500,3.8431372549,-0.899443355
20209,Kansas,Wyandotte,109940,25095,4.380952381,-0.220715729
21000,Kentucky,,119690,24295,4.9265280922,
21001,Kentucky,Adair,95560,18895,5.0574225986,0.632995895
21003,Kentucky,Allen,103783,21881,4.7430647594,0.2362734165
21005,Kentucky,Anderson,120833,32840,3.6794457978,-1.106023476
21007,Kentucky,Ballard,117130,24367,4.8069109862,0.3168479407
21009,Kentucky,Barren,96887,20155,4.8070950136,0.3170801851
21011,Kentucky,Bath,98500,19757,4.985574733,0.5423232292
21013,Kentucky,Bell,72094,13572,5.311965812,0.9542317667
21015,Kentucky,Boone,157747,44487,3.545912289,-1.27454399
21017,Kentucky,Bourbon,115793,21895,5.2885590317,0.9246921952
21019,Kentucky,Boyd,112379,21097,5.3267763189,0.9729227624
21021,Kentucky,Boyle,114838,22056,5.2066557853,0.8213295464
21023,Kentucky,Bracken,123741,26135,4.7346852879,0.2256984466
21025,Kentucky,Breathitt,80318,13810,5.8159304852,1.5902398101
21027,Kentucky,Breckinridge,106103,20081,5.2837508092,0.9186241743
21029,Kentucky,Bullitt,131262,34077,3.8519235848,-0.888354925
21031,Kentucky,Butler,90242,18447,4.8919607524,0.4241815264
21033,Kentucky,Caldwell,103786,19025,5.4552431012,1.1350490209
21035,Kentucky,Calloway,101481,19927,5.0926381292,0.6774382179
21037,Kentucky,Campbell,146753,28072,5.2277358222,0.8479327465
21039,Kentucky,Carlisle,106056,22662,4.6799046863,0.1565648245
21041,Kentucky,Carroll,111393,20398,5.4609765663,1.1422847065
21043,Kentucky,Carter,101130,16967,5.9603937054,1.7725537201
21045,Kentucky,Casey,88936,16193,5.4922497375,1.1817517356
21047,Kentucky,Christian,91499,22040,4.1514972777,-0.510290175
21049,Kentucky,Clark,115645,25625,4.5129756098,-0.054101202
21051,Kentucky,Clay,79914,13321,5.9990991667,1.8214003676
21053,Kentucky,Clinton,85557,17462,4.899610583,0.4338356828
21055,Kentucky,Crittenden,100000,22500,4.4444444444,-0.140588162
21057,Kentucky,Cumberland,79077,11979,6.601302279,2.5813862228
21059,Kentucky,Daviess,121379,26136,4.6441307009,0.1114177266
21061,Kentucky,Edmonson,99107,22184,4.4674990984,-0.111492977
21063,Kentucky,Elliott,78925,15027,5.2522126838,0.8788227706
21065,Kentucky,Estill,85354,14334,5.9546532719,1.7653092404
21067,Kentucky,Fayette,138500,27604,5.0173887842,0.5824728538
21069,Kentucky,Fleming,93083,18776,4.9575521943,0.5069585281
21071,Kentucky,Floyd,88031,14299,6.1564445066,2.0199716308
21073,Kentucky,Franklin,119761,29222,4.098316337,-0.577405011
21075,Kentucky,Fulton,67029,13910,4.8187634795,0.3318058961
21077,Kentucky,Gallatin,110356,26755,4.1246869744,-0.544125024
21079,Kentucky,Garrard,115263,25800,4.4675581395,-0.111418467
21081,Kentucky,Grant,121350,24812,4.8907786555,0.4226897092
21083,Kentucky,Graves,100282,19288,5.199191207,0.8119091801
21085,Kentucky,Grayson,96226,17532,5.4885922884,1.1771360012
21087,Kentucky,Green,85281,17592,4.8477148704,0.3683428172
21089,Kentucky,Greenup,112060,23700,4.7282700422,0.2176023476
21091,Kentucky,Hancock,119919,24078,4.9804385746,0.5358413502
21093,Kentucky,Hardin,122328,30151,4.0571788664,-0.629320876
21095,Kentucky,Harlan,75320,15197,4.9562413634,0.5053042475
21097,Kentucky,Harrison,108979,21087,5.1680656329,0.7726284199
21099,Kentucky,Hart,90500,17114,5.2880682482,0.9240728219
21101,Kentucky,Henderson,112114,21609,5.1883011708,0.7981658545
21103,Kentucky,Henry,112561,23815,4.7264749108,0.2153368753
21105,Kentucky,Hickman,119429,28040,4.2592368046,-0.374321903
21107,Kentucky,Hopkins,101628,21040,4.8302281369,0.346274399
21109,Kentucky,Jackson,75456,15738,4.7945101029,0.3011979123
21111,Kentucky,Jefferson,131833,28281,4.6615395495,0.1333878533
21113,Kentucky,Jessamine,132189,31566,4.1877019578,-0.464599537
21115,Kentucky,Johnson,98902,16262,6.0817857582,1.925751605
21117,Kentucky,Kenton,143530,32964,4.3541439146,-0.25454826
21119,Kentucky,Knott,80011,15505,5.1603353757,0.7628727644
21121,Kentucky,Knox,81891,11993,6.828233136,2.8677750473
21123,Kentucky,Larue,106178,21737,4.8846666973,0.4149763619
21125,Kentucky,Laurel,103700,20084,5.1633140809,0.7666319176
21127,Kentucky,Lawrence,91265,18766,4.8633166365,0.3880323892
21129,Kentucky,Lee,60667,12904,4.7014104154,0.183705252
21131,Kentucky,Leslie,74920,14823,5.0543074951,0.6290646058
21133,Kentucky,Letcher,79681,14267,5.5849863321,1.2987861692
21135,Kentucky,Lewis,83556,16387,5.0989198755,0.6853658394
21137,Kentucky,Lincoln,97781,19449,5.0275592575,0.5953080845
21139,Kentucky,Livingston,94244,23435,4.021506294,-0.67433999
21141,Kentucky,Logan,103798,23780,4.3649285114,-0.240937999
21143,Kentucky,Lyon,115651,28270,4.0909444641,-0.586708382
21145,Kentucky,McCracken,118331,23826,4.9664652061,0.5182068308
21147,Kentucky,McCreary,74627,11795,6.3270029674,2.2352179738
21149,Kentucky,McLean,123165,27466,4.4842714629,-0.090326099
21151,Kentucky,Madison,119805,25088,4.775390625,0.2770689556
21153,Kentucky,Magoffin,69919,12356,5.6587083198,1.3918239944
21155,Kentucky,Marion,92980,21205,4.3848149021,-0.215841192
21157,Kentucky,Marshall,123340,25462,4.8440813762,0.3637573141
21159,Kentucky,Martin,107712,13124,8.207253886,3.0
21161,Kentucky,Mason,120800,18323,6.5928068548,2.5706649195
21163,Kentucky,Meade,135103,31998,4.2222326395,-0.421021499
21165,Kentucky,Menifee,91132,14190,6.4222692037,2.3554448384
21167,Kentucky,Mercer,104236,28931,3.602917286,-1.20260316
21169,Kentucky,Metcalfe,91627,19136,4.7882002508,0.293234821
21171,Kentucky,Monroe,101683,16262,6.2527979338,2.1415705403
21173,Kentucky,Montgomery,102896,21444,4.7983585152,0.3060546439
21175,Kentucky,Morgan,91827,17449,5.2625938449,0.8919238911
21177,Kentucky,Muhlenberg,112206,20571,5.4545719702,1.1342020475
21179,Kentucky,Nelson,120131,30258,3.970222751,-0.739060292
21181,Kentucky,Nicholas,99000,23528,4.2077524651,-0.439295612
21183,Kentucky,Ohio,101185,25289,4.0011467436,-0.700033929
21185,Kentucky,Oldham,207066,54031,3.8323554996,-0.913050029
21187,Kentucky,Owen,110750,22615,4.8971921291,0.4307835718
21189,Kentucky,Owsley,81635,12884,6.3361533685,2.246765864
21191,Kentucky,Pendleton,120921,17759,6.8089982544,2.8435004502
21193,Kentucky,Perry,94859,16675,5.6886956522,1.429668283
21195,Kentucky,Pike,87836,15328,5.7304279749,1.4823348574
21197,Kentucky,Powell,97974,13966,7.0151797222,3.0
21199,Kentucky,Pulaski,101377,18388,5.5132151403,1.2082102664
21201,Kentucky,Robertson,99143,18528,5.3509822971,1.0034709291
21203,Kentucky,Rockcastle,87957,16522,5.3236291006,0.968950944
21205,Kentucky,Rowan,107989,18614,5.8014934995,1.5720202018
21207,Kentucky,Russell,90651,17275,5.2475253256,0.8729072815
21209,Kentucky,Scott,141765,40253,3.5218493032,-1.304911699
21211,Kentucky,Shelby,139866,37278,3.7519716723,-1.014495157
21213,Kentucky,Simpson,106327,23547,4.5155221472,-0.050887449
21215,Kentucky,Spencer,160888,42167,3.8154955297,-0.934327465
21217,Kentucky,Taylor,104269,24143,4.3188087644,-0.299141543
21219,Kentucky,Todd,111124,22662,4.9035389639,0.4387933356
21221,Kentucky,Trigg,107395,22052,4.8700798114,0.3965675779
21223,Kentucky,Trimble,116655,22560,5.1708776596,0.7761772234
21225,Kentucky,Union,104815,22885,4.5800742845,0.0305779411
21227,Kentucky,Warren,121082,25702,4.7109952533,0.1958014054
21229,Kentucky,Washington,113080,21896,5.1644135915,0.7680195102
21231,Kentucky,Wayne,84930,15550,5.4617363344,1.1432435408
21233,Kentucky,Webster,96776,21349,4.5330460443,-0.02877213
21235,Kentucky,Whitley,92832,16139,5.7520292459,1.5095958597
21237,Kentucky,Wolfe,56414,12398,4.5502500403,-0.007060529
21239,Kentucky,Woodford,140653,35379,3.9756069985,-0.732265322
22000,Louisiana,,123432,21781,5.66695744,
22001,Louisiana,Acadia,103401,17510,5.9052541405,1.7029670831
22003,Louisiana,Allen,115626,19445,5.9463101054,1.7547800877
22005,Louisiana,Ascension,170916,38254,4.4679249229,-0.110955583
22007,Louisiana,Assumption,111092,19124,5.8090357666,1.581538612
22009,Louisiana,Avoyelles,97636,14632,6.6727720066,2.671581675
22011,Louisiana,Beauregard,134500,28209,4.7679818498,0.2677190133
22013,Louisiana,Bienville,78553,14924,5.2635352452,0.893111947
22015,Louisiana,Bossier,126929,25848,4.9105926958,0.4476952099
22017,Louisiana,Caddo,107334,18621,5.7641372644,1.5248762901
22019,Louisiana,Calcasieu,130621,25654,5.0916426288,0.6761818873
22021,Louisiana,Caldwell,119569,16694,7.1623936744,3.0
22023,Louisiana,Cameron,136113,34823,3.9087097608,-0.81669025
22025,Louisiana,Catahoula,108382,20410,5.3102400784,0.9520538751
22027,Louisiana,Claiborne,68932,12443,5.5398215864,1.2417878456
22029,Louisiana,Concordia,86147,14139,6.0928637103,1.9397320822
22031,Louisiana,De Soto,119540,19276,6.2014940859,2.0768246133
22033,Louisiana,East Baton Rouge,137660,24520,5.6141924959,1.335644616
22035,Louisiana,East Carroll,92847,9759,9.5139870888,3.0
22037,Louisiana,East Feliciana,128853,26314,4.8967469788,0.430221788
22039,Louisiana,Evangeline,89258,15892,5.6165366222,1.3386029249
22041,Louisiana,Franklin,91592,16927,5.4110001772,1.0792140447
22043,Louisiana,Grant,117907,25476,4.6281598367,0.0912623494
22045,Louisiana,Iberia,107878,20804,5.1854451067,0.7945614754
22047,Louisiana,Iberville,125131,23260,5.3796646604,1.0396683348
22049,Louisiana,Jackson,87915,17654,4.9798912428,0.5351506123
22051,Louisiana,Jefferson,126910,25577,4.9618798139,0.5124200238
22053,Louisiana,Jefferson Davis,122373,21148,5.786504634,1.5531041159
22055,Louisiana,Lafayette,132867,24276,5.473183391,1.1576898313
22057,Louisiana,Lafourche,120818,21433,5.6370083516,1.3644384353
22059,Louisiana,LaSalle,133693,21518,6.2130774236,2.0914428918
22061,Louisiana,Lincoln,98780,14921,6.6201997185,2.605234965
22063,Louisiana,Livingston,139030,32193,4.3186406983,-0.299353644
22065,Louisiana,Madison,79878,11554,6.9134498875,2.9753193699
22067,Louisiana,Morehouse,89097,14579,6.1113245079,1.9630297782
22069,Louisiana,Natchitoches,106421,13310,7.9955672427,4.3409614048
22071,Louisiana,Orleans,121545,15372,7.9069086651,4.2290734661
22073,Louisiana,Ouachita,111788,17790,6.2837549185,2.1806385391
22075,Louisiana,Plaquemines,143984,26921,5.3483897329,1.0001990893
22077,Louisiana,Pointe Coupee,117523,14848,7.9150727371,4.2393765999
22079,Louisiana,Rapides,118047,22019,5.3611426495,1.0162933871
22081,Louisiana,Red River,102701,14604,7.0323883867,3.0
22083,Louisiana,Richland,104583,18500,5.6531351351,1.3847905841
22085,Louisiana,Sabine,93363,15900,5.8718867925,1.6608571836
22087,Louisiana,St. Bernard,111041,20266,5.4791769466,1.1652537535
22089,Louisiana,St. Charles,156231,33548,4.6569393108,0.1275823099
22091,Louisiana,St. Helena,82919,12218,6.7866262891,2.8152668246
22093,Louisiana,St. James,145208,26042,5.5759158283,1.2873391101
22095,Louisiana,St. John the Baptist,117172,28560,4.1026610644,-0.571921925
22097,Louisiana,St. Landry,96118,14667,6.5533510602,2.5208713446
22099,Louisiana,St. Martin,108301,20703,5.231174226,0.8522720436
22101,Louisiana,St. Mary,103840,16761,6.1953344073,2.0690510423
22103,Louisiana,St. Tammany,149452,32850,4.5495281583,-0.007971551
22105,Louisiana,Tangipahoa,114237,21143,5.4030648442,1.0691995816
22107,Louisiana,Tensas,68613,13279,5.1670306499,0.7713222619
22109,Louisiana,Terrebonne,117149,24133,4.8543073799,0.3766626247
22111,Louisiana,Union,98324,15199,6.4691098099,2.4145581134
22113,Louisiana,Vermilion,113038,21617,5.2291252255,0.8496861863
22115,Louisiana,Vernon,108467,23005,4.7149315366,0.2007690311
22117,Louisiana,Washington,92784,17761,5.2240301785,0.8432561901
22119,Louisiana,Webster,80477,15476,5.2001163091,0.8130766675
22121,Louisiana,West Baton Rouge,137625,31263,4.4021686978,-0.193940542
22123,Louisiana,West Carroll,96688,19746,4.8965866505,0.4300194522
22125,Louisiana,West Feliciana,155250,25678,6.0460316224,1.8806295574
22127,Louisiana,Winn,107703,18721,5.7530580631,1.5108942365
23000,Maine,,131794,29014,4.5424277935,
23001,Maine,Androscoggin,124277,28437,4.3702570595,-0.234213323
23003,Maine,Aroostook,101131,20607,4.9076042122,0.4439237162
23005,Maine,Cumberland,167853,38403,4.3708304039,-0.233489757
23007,Maine,Franklin,110421,25958,4.253833115,-0.381141409
23009,Maine,Hancock,124506,27416,4.5413627079,-0.018276424
23011,Maine,Kennebec,119721,27420,4.3661925602,-0.239342758
23013,Maine,Knox,127662,30949,4.124915183,-0.543837023
23015,Maine,Lincoln,129065,32118,4.0184631671,-0.678180444
23017,Maine,Oxford,108468,24015,4.5166770768,-0.049429917
23019,Maine,Penobscot,118681,24805,4.7845595646,0.2886402416
23021,Maine,Piscataquis,101512,21726,4.672374114,0.1470611731
23023,Maine,Sagadahoc,135078,32500,4.1562461538,-0.50429705
23025,Maine,Somerset,100836,22367,4.5082487593,-0.060066531
23027,Maine,Waldo,115611,27276,4.2385613726,-0.400414488
23029,Maine,Washington,103655,19304,5.3696125155,1.0269824358
23031,Maine,York,142504,36371,3.9180665915,-0.804881844
24000,Maryland,,189071,41125,4.5974711246,
24001,Maryland,Allegany,105391,22100,4.7688235294,0.2687812207
24003,Maryland,Anne Arundel,206240,55789,3.6967861048,-1.084139849
24005,Maryland,Baltimore,169422,38515,4.398857588,-0.198119193
24009,Maryland,Calvert,216262,62560,3.4568734015,-1.386911883
24011,Maryland,Caroline,128156,30431,4.2113634123,-0.434738564
24013,Maryland,Carroll,195958,48706,4.0232825525,-0.672098335
24015,Maryland,Cecil,152348,36069,4.2237932851,-0.41905195
